customer_id,full_name,gender,age,city,registration_date
C1000,Customer 0,Male,51,Baku,2022-11-13
C1001,Customer 1,Male,18,Shaki,2020-08-24
C1002,Customer 2,Female,36,Baku,2022-02-27
C1003,Customer 3,Male,19,Baku,2023-03-26
C1004,Customer 4,Male,54,Ganja,2021-01-24
C1005,Customer 5,Male,60,Ganja,2021-06-05
C1006,Customer 6,Male,66,Lankaran,2020-03-31
C1007,Customer 7,Male,53,Lankaran,2023-12-22
C1008,Customer 8,Female,54,Lankaran,2022-06-12
C1009,Customer 9,Male,22,Ganja,2020-01-04
C1010,Customer 10,Male,41,Lankaran,2022-11-30
C1011,Customer 11,Male,19,Baku,2024-07-09
C1012,Customer 12,Male,20,Ganja,2023-01-07
C1013,Customer 13,Male,63,Lankaran,2023-11-07
C1014,Customer 14,Male,44,Baku,2024-01-13
C1015,Customer 15,Male,68,Lankaran,2024-02-28
C1016,Customer 16,Female,58,Sumqayit,2024-02-18
C1017,Customer 17,Male,33,Lankaran,2023-10-05
C1018,Customer 18,Female,42,Sumqayit,2021-02-07
C1019,Customer 19,Female,55,Lankaran,2022-01-15
C1020,Customer 20,Male,68,Shaki,2022-06-02
C1021,Customer 21,Male,44,Lankaran,2020-05-23
C1022,Customer 22,Female,48,Ganja,2023-09-22
C1023,Customer 23,Female,60,Ganja,2021-11-07
C1024,Customer 24,Female,22,Sumqayit,2023-06-30
C1025,Customer 25,Male,66,Ganja,2021-10-04
C1026,Customer 26,Male,21,Baku,2023-09-20
C1027,Customer 27,Female,61,Shaki,2024-10-02
C1028,Customer 28,Male,40,Shaki,2020-09-12
C1029,Customer 29,Male,50,Baku,2024-01-14
C1030,Customer 30,Female,47,Sumqayit,2021-09-07
C1031,Customer 31,Male,19,Baku,2022-11-04
C1032,Customer 32,Female,69,Baku,2021-09-25
C1033,Customer 33,Female,36,Shaki,2023-09-27
C1034,Customer 34,Female,19,Lankaran,2022-04-16
C1035,Customer 35,Male,38,Shaki,2021-10-30
C1036,Customer 36,Female,27,Shaki,2022-04-04
C1037,Customer 37,Male,58,Ganja,2023-11-28
C1038,Customer 38,Female,22,Baku,2021-08-28
C1039,Customer 39,Male,68,Shaki,2023-02-09
C1040,Customer 40,Female,26,Baku,2020-09-17
C1041,Customer 41,Female,54,Ganja,2021-01-27
C1042,Customer 42,Male,49,Baku,2022-05-11
