order_id,product_id,quantity,discount
O3359,P2039,5,12
O3281,P2014,6,7
O3467,P2023,3,42
O3241,P2047,1,10
O3387,P2088,2,11
O3275,P2018,5,0
O3410,P2065,3,8
O3340,P2049,9,17
O3422,P2053,4,43
O3111,P2076,4,17
O3390,P2017,5,28
O3126,P2073,2,47
O3348,P2049,5,48
O3386,P2054,9,26
O3305,P2023,7,22
O3447,P2062,3,11
O3403,P2081,6,39
O3041,P2068,1,36
O3269,P2088,6,45
O3228,P2082,5,12
O3270,P2022,9,44
O3360,P2071,8,49
O3185,P2021,8,4
O3039,P2062,5,2
O3469,P2036,7,13
O3288,P2017,5,21
O3057,P2023,7,8
O3031,P2040,4,1
O3424,P2057,8,8
O3280,P2079,6,18
O3462,P2006,1,28
O3258,P2045,6,11
O3103,P2001,9,15
O3293,P2062,2,0
O3274,P2017,7,24
O3076,P2024,7,1
O3084,P2049,1,38
O3167,P2071,7,44
O3437,P2064,6,14
O3266,P2083,2,28
O3226,P2063,8,43
O3059,P2052,7,43
O3348,P2087,1,21
O3105,P2062,3,3
O3367,P2053,9,43
O3298,P2090,7,26
O3250,P2056,1,24
O3046,P2062,4,13
O3460,P2021,7,1
O3261,P2010,3,36
O3228,P2072,5,4
O3414,P2003,3,22
O3028,P2097,8,33
O3232,P2028,4,8
O3067,P2037,9,22
O3262,P2004,9,17
O3212,P2035,9,10
O3233,P2028,5,22
O3288,P2068,7,36
O3029,P2036,9,36
O3286,P2021,7,8
O3236,P2099,1,35
O3344,P2058,9,10
O3413,P2072,6,22
O3157,P2095,1,8
O3370,P2098,3,37
O3011,P2098,1,39
O3202,P2063,9,31
O3130,P2070,2,2
O3418,P2065,5,32
O3001,P2014,2,38
O3381,P2073,9,13
O3111,P2014,6,22
O3296,P2034,4,26
O3037,P2099,3,38
O3023,P2069,2,10
O3216,P2046,1,27
O3176,P2069,7,4
O3358,P2096,9,45
O3032,P2005,1,25
O3277,P2097,6,0
O3030,P2092,1,10
O3478,P2056,4,27
O3457,P2069,5,14
O3035,P2027,2,19
O3478,P2054,1,44
O3241,P2013,9,44
O3016,P2094,8,2
O3146,P2083,2,3
O3209,P2096,9,26
O3092,P2031,9,39
O3393,P2038,4,14
O3069,P2004,1,32
O3392,P2057,5,24
O3328,P2033,4,35
O3373,P2044,1,43
O3330,P2011,8,23
O3493,P2056,8,30
O3215,P2015,9,24
O3191,P2099,2,18
O3456,P2030,9,4
O3195,P2026,2,4
O3229,P2094,6,44
O3445,P2075,6,31
O3469,P2088,7,26
O3464,P2044,7,20
O3193,P2090,1,21
O3192,P2078,6,4
O3041,P2080,4,8
O3349,P2054,2,16
O3493,P2021,9,5
O3338,P2078,7,2
O3447,P2017,6,3
O3276,P2026,7,30
O3068,P2026,7,11
O3334,P2007,7,30
O3440,P2072,3,21
O3178,P2044,3,31
O3060,P2068,6,42
O3091,P2035,7,25
O3275,P2076,9,25
O3201,P2068,8,34
O3270,P2021,2,44
O3065,P2041,3,23
O3372,P2090,7,6
O3114,P2037,9,17
O3427,P2037,3,2
O3001,P2073,3,5
O3387,P2034,6,38
O3011,P2065,9,19
O3152,P2086,4,1
O3237,P2012,3,2
O3344,P2017,1,40
O3368,P2096,7,40
O3278,P2052,7,45
O3217,P2007,1,46
O3272,P2035,8,22
O3194,P2083,1,2
O3421,P2016,4,13
O3117,P2089,7,46
O3126,P2016,3,21
O3235,P2031,6,42
O3177,P2018,3,37
O3079,P2091,7,37
O3141,P2041,9,11
O3096,P2031,3,38
O3479,P2097,5,19
O3448,P2086,5,32
O3371,P2050,2,3
O3391,P2062,6,31
O3057,P2018,3,17
O3016,P2073,4,47
O3414,P2080,3,5
O3338,P2034,6,48
O3214,P2080,5,48
O3314,P2053,2,30
O3392,P2048,2,23
O3479,P2057,2,33
O3452,P2009,1,17
O3455,P2081,1,23
O3008,P2098,2,19
O3123,P2011,6,41
O3105,P2051,3,15
O3034,P2065,9,25
O3051,P2095,2,1
O3304,P2035,1,45
O3017,P2088,9,20
O3228,P2047,7,36
O3306,P2058,4,43
O3344,P2062,6,0
O3360,P2041,6,38
O3446,P2074,2,27
O3024,P2000,7,13
O3125,P2099,3,24
O3379,P2093,2,19
O3022,P2011,5,17
O3205,P2093,7,32
O3224,P2058,7,48
O3119,P2081,8,16
O3276,P2085,3,2
O3111,P2089,1,48
O3386,P2045,9,12
O3442,P2008,9,10
O3397,P2068,1,37
O3028,P2050,3,38
O3071,P2027,6,43
O3257,P2054,6,15
O3148,P2027,8,49
O3119,P2063,1,17
O3417,P2034,7,5
O3469,P2041,3,3
O3374,P2036,1,14
O3294,P2043,2,2
O3163,P2070,2,27
O3295,P2073,3,12
O3306,P2016,3,38
O3395,P2072,9,11
O3344,P2062,3,40
O3419,P2043,2,47
O3164,P2087,9,29
O3121,P2097,2,14
O3154,P2006,7,32
O3448,P2005,3,28
O3073,P2012,3,48
O3338,P2080,7,16
O3266,P2058,3,8
O3113,P2002,4,13
O3211,P2015,7,42
O3153,P2020,1,34
O3140,P2056,8,35
O3031,P2058,7,13
O3285,P2000,3,10
O3485,P2054,4,11
O3302,P2025,7,40
O3450,P2088,4,10
O3376,P2016,7,16
O3466,P2083,7,19
O3089,P2038,4,14
O3320,P2020,5,37
O3347,P2035,8,12
O3218,P2011,2,28
O3284,P2083,3,1
O3253,P2046,5,28
O3024,P2032,7,21
O3497,P2010,1,41
O3176,P2047,2,10
O3482,P2085,1,38
O3329,P2083,2,11
O3343,P2021,5,13
O3195,P2006,2,10
O3402,P2050,1,8
O3268,P2080,6,37
O3163,P2039,7,9
O3356,P2092,2,48
O3213,P2089,8,26
O3209,P2096,3,45
O3076,P2029,9,16
O3153,P2054,7,31
O3192,P2083,3,47
O3094,P2011,2,38
O3386,P2090,4,30
O3275,P2012,8,37
O3242,P2000,7,47
O3123,P2027,7,31
O3434,P2061,1,39
O3115,P2009,4,31
O3153,P2016,8,23
O3439,P2075,1,25
O3362,P2028,1,8
O3073,P2066,6,22
O3412,P2087,1,9
O3237,P2056,2,7
O3468,P2001,1,42
O3029,P2001,7,45
O3287,P2089,6,2
O3211,P2043,4,32
O3495,P2015,5,34
O3213,P2054,4,24
O3285,P2088,5,39
O3271,P2016,2,41
O3068,P2061,5,26
O3198,P2009,9,20
O3124,P2029,1,14
O3130,P2049,3,25
O3104,P2011,1,38
O3169,P2093,2,7
O3331,P2013,2,24
O3040,P2013,3,23
O3472,P2040,5,43
O3230,P2047,2,27
O3433,P2038,9,29
O3189,P2017,3,41
O3047,P2048,5,23
O3274,P2099,6,27
O3370,P2096,5,35
O3424,P2017,2,44
O3097,P2082,8,13
O3026,P2086,2,43
O3137,P2018,9,4
O3193,P2008,5,7
O3344,P2067,4,5
O3309,P2072,9,2
O3308,P2001,9,48
O3020,P2078,6,8
O3447,P2083,9,20
O3037,P2021,1,19
O3096,P2056,5,36
O3411,P2044,4,30
O3389,P2092,3,15
O3300,P2027,8,12
O3370,P2080,1,12
O3343,P2095,8,24
O3286,P2019,3,39
O3111,P2052,2,44
O3245,P2078,4,35
O3106,P2087,4,7
O3445,P2056,4,15
O3464,P2027,2,31
O3170,P2011,8,31
O3155,P2012,5,9
O3489,P2017,6,36
O3465,P2096,5,45
O3007,P2015,4,29
O3108,P2075,6,24
O3479,P2093,2,44
O3097,P2049,1,44
O3492,P2044,3,18
O3379,P2054,4,11
O3060,P2040,2,12
O3382,P2017,6,22
O3386,P2031,1,42
O3245,P2035,7,15
O3468,P2082,4,37
O3124,P2010,1,5
O3356,P2031,3,26
O3309,P2070,8,38
O3360,P2076,1,4
O3104,P2076,9,15
O3203,P2092,7,39
O3468,P2077,6,44
O3122,P2036,1,29
O3282,P2099,3,24
O3164,P2088,9,30
O3397,P2003,9,35
O3144,P2084,8,1
O3194,P2038,7,11
O3238,P2026,6,20
O3273,P2066,7,8
O3332,P2077,4,22
O3183,P2065,3,14
O3157,P2024,4,34
O3133,P2095,8,25
O3184,P2050,1,26
O3262,P2037,7,24
O3451,P2082,4,46
O3254,P2006,6,15
O3238,P2030,9,46
O3050,P2063,3,44
O3411,P2049,1,1
O3369,P2014,1,21
