order_id,customer_id,order_date,payment_method,status
O3000,C1169,2024-06-23,Cash,Returned
O3001,C1094,2024-10-31,Transfer,Cancelled
O3002,C1017,2022-05-09,Cash,Returned
O3003,C1129,2023-10-17,Card,Cancelled
O3004,C1165,2024-04-09,Cash,Cancelled
O3005,C1087,2021-10-21,Card,Returned
O3006,C1003,2022-04-21,Cash,Completed
O3007,C1107,2023-08-03,Cash,Completed
O3008,C1125,2024-07-30,Transfer,Cancelled
O3009,C1027,2022-06-05,Cash,Returned
O3010,C1110,2023-07-31,Cash,Completed
O3011,C1092,2022-06-07,Transfer,Cancelled
O3012,C1162,2024-09-27,Card,Cancelled
O3013,C1117,2021-01-20,Cash,Returned
O3014,C1181,2023-08-11,Transfer,Returned
O3015,C1039,2022-08-13,Card,Cancelled
O3016,C1111,2024-10-19,Cash,Completed
O3017,C1045,2024-01-25,Cash,Returned
O3018,C1187,2021-11-20,Cash,Returned
O3019,C1133,2021-06-01,Card,Returned
O3020,C1166,2023-06-24,Card,Completed
O3021,C1069,2022-12-09,Cash,Completed
O3022,C1157,2024-04-18,Cash,Cancelled
O3023,C1137,2022-09-05,Card,Returned
O3024,C1198,2024-08-01,Transfer,Completed
O3025,C1123,2023-05-19,Card,Completed
O3026,C1119,2022-05-28,Transfer,Returned
O3027,C1111,2023-07-25,Transfer,Completed
O3028,C1187,2022-09-11,Transfer,Cancelled
O3029,C1151,2022-02-12,Cash,Completed
O3030,C1068,2023-02-27,Cash,Completed
O3031,C1082,2023-09-17,Transfer,Cancelled
O3032,C1062,2021-08-07,Transfer,Returned
O3033,C1022,2022-05-01,Transfer,Completed
O3034,C1071,2023-02-21,Card,Cancelled
O3035,C1115,2024-03-17,Cash,Returned
O3036,C1062,2023-01-06,Transfer,Cancelled
O3037,C1192,2024-03-23,Transfer,Completed
O3038,C1118,2022-08-29,Card,Cancelled
O3039,C1145,2022-08-28,Cash,Completed
O3040,C1156,2021-02-14,Transfer,Returned
O3041,C1171,2024-09-10,Cash,Returned
O3042,C1097,2023-03-22,Transfer,Cancelled
O3043,C1086,2022-07-17,Card,Completed
O3044,C1007,2021-01-17,Card,Returned
O3045,C1126,2024-03-05,Cash,Cancelled
O3046,C1083,2021-04-11,Card,Returned
O3047,C1046,2024-05-26,Cash,Returned
O3048,C1124,2023-10-15,Transfer,Completed
O3049,C1054,2022-08-10,Card,Returned
O3050,C1090,2022-04-17,Transfer,Returned
O3051,C1066,2024-05-28,Transfer,Completed
O3052,C1087,2022-12-23,Card,Returned
O3053,C1071,2022-03-25,Card,Returned
O3054,C1152,2024-07-27,Card,Completed
O3055,C1179,2022-01-25,Transfer,Completed
O3056,C1070,2024-06-25,Cash,Returned
O3057,C1142,2022-05-29,Cash,Returned
O3058,C1002,2024-10-20,Transfer,Returned
O3059,C1132,2024-09-12,Transfer,Returned
O3060,C1048,2024-10-26,Transfer,Cancelled
O3061,C1021,2021-10-08,Card,Returned
O3062,C1061,2024-07-10,Cash,Completed
O3063,C1184,2021-07-18,Cash,Completed
O3064,C1104,2024-07-09,Cash,Completed
O3065,C1125,2024-08-16,Cash,Completed
O3066,C1142,2021-03-22,Cash,Returned
