product_id,product_name,category,unit_price,cost_price
P2000,Product 0,Books,401,344
P2001,Product 1,Electronics,245,738
P2002,Product 2,Books,401,81
P2003,Product 3,Toys,90,207
P2004,Product 4,Toys,912,95
P2005,Product 5,Electronics,426,737
P2006,Product 6,Home,820,5
P2007,Product 7,Home,503,437
P2008,Product 8,Toys,354,780
P2009,Product 9,Toys,28,182
P2010,Product 10,Books,948,317
P2011,Product 11,Books,859,590
P2012,Product 12,Books,688,788
P2013,Product 13,Clothing,457,181
P2014,Product 14,Toys,882,267
P2015,Product 15,Clothing,627,511
P2016,Product 16,Home,673,416
P2017,Product 17,Toys,210,248
P2018,Product 18,Toys,954,506
P2019,Product 19,Electronics,748,690
P2020,Product 20,Toys,238,647
P2021,Product 21,Home,858,155
P2022,Product 22,Toys,825,331
P2023,Product 23,Clothing,447,713
P2024,Product 24,Toys,922,625
P2025,Product 25,Clothing,449,382
P2026,Product 26,Books,80,476
P2027,Product 27,Books,554,52
P2028,Product 28,Electronics,268,783
P2029,Product 29,Toys,639,244
P2030,Product 30,Books,286,158
P2031,Product 31,Books,19,150
P2032,Product 32,Electronics,752,658
P2033,Product 33,Electronics,563,402
P2034,Product 34,Toys,87,67
P2035,Product 35,Clothing,123,454
P2036,Product 36,Toys,736,251
P2037,Product 37,Clothing,176,439
P2038,Product 38,Electronics,414,135
P2039,Product 39,Home,127,21
P2040,Product 40,Toys,611,651
P2041,Product 41,Home,820,301
P2042,Product 42,Clothing,408,29
P2043,Product 43,Toys,478,294
P2044,Product 44,Home,406,262
P2045,Product 45,Home,822,495
P2046,Product 46,Toys,850,54
P2047,Product 47,Home,50,62
P2048,Product 48,Toys,799,339
P2049,Product 49,Home,228,760
P2050,Product 50,Electronics,62,132
P2051,Product 51,Toys,870,693
P2052,Product 52,Electronics,259,131
P2053,Product 53,Books,115,591
P2054,Product 54,Electronics,269,102
P2055,Product 55,Home,822,775
P2056,Product 56,Clothing,65,246
P2057,Product 57,Electronics,864,18
P2058,Product 58,Electronics,678,549
P2059,Product 59,Electronics,992,690
P2060,Product 60,Clothing,570,88
P2061,Product 61,Clothing,807,513
P2062,Product 62,Electronics,442,765
P2063,Product 63,Books,658,419
P2064,Product 64,Clothing,272,425
P2065,Product 65,Clothing,886,587
P2066,Product 66,Clothing,979,93
P2067,Product 67,Toys,521,763
P2068,Product 68,Electronics,981,641
P2069,Product 69,Books,315,461
P2070,Product 70,Clothing,421,389
P2071,Product 71,Toys,980,776
P2072,Product 72,Home,350,772
P2073,Product 73,Home,545,59
P2074,Product 74,Clothing,49,203
P2075,Product 75,Books,585,177
P2076,Product 76,Books,230,601
P2077,Product 77,Electronics,573,583
P2078,Product 78,Clothing,550,695
P2079,Product 79,Home,392,200
P2080,Product 80,Electronics,65,540
P2081,Product 81,Books,717,679
P2082,Product 82,Electronics,981,69
P2083,Product 83,Home,854,195
P2084,Product 84,Books,921,783
P2085,Product 85,Toys,344,234
P2086,Product 86,Toys,183,409
P2087,Product 87,Clothing,730,585
P2088,Product 88,Electronics,906,187
P2089,Product 89,Books,510,28
P2090,Product 90,Clothing,745,621
P2091,Product 91,Electronics,153,669
P2092,Product 92,Home,55,293
P2093,Product 93,Books,977,555
P2094,Product 94,Electronics,418,154
P2095,Product 95,Books,298,82
P2096,Product 96,Electronics,712,374
P2097,Product 97,Home,854,187
P2098,Product 98,Books,233,539
P2099,Product 99,Toys,252,296
