return_id,order_id,product_id,return_date,reason
R4000,O3046,P2049,2023-08-06,Wrong Item
R4001,O3328,P2071,2022-01-30,Defective
R4002,O3278,P2050,2022-06-27,Wrong Item
R4003,O3198,P2070,2022-07-17,Wrong Item
R4004,O3094,P2041,2022-07-25,Customer Dissatisfaction
R4005,O3189,P2035,2022-03-01,Wrong Item
R4006,O3453,P2066,2022-09-13,Wrong Item
R4007,O3195,P2058,2022-02-03,Wrong Item
R4008,O3189,P2001,2023-04-13,Customer Dissatisfaction
R4009,O3095,P2089,2022-02-21,Customer Dissatisfaction
R4010,O3228,P2079,2023-01-05,Customer Dissatisfaction
R4011,O3022,P2075,2023-12-23,Wrong Item
R4012,O3134,P2066,2022-07-23,Defective
R4013,O3225,P2053,2022-10-08,Defective
R4014,O3238,P2014,2023-01-13,Customer Dissatisfaction
R4015,O3134,P2053,2023-04-21,Defective
R4016,O3115,P2019,2023-06-02,Defective
R4017,O3428,P2018,2023-02-11,Customer Dissatisfaction
R4018,O3137,P2072,2023-10-13,Wrong Item
R4019,O3288,P2075,2022-05-07,Customer Dissatisfaction
R4020,O3031,P2074,2023-11-29,Wrong Item
R4021,O3077,P2097,2022-02-01,Customer Dissatisfaction
R4022,O3385,P2012,2022-09-05,Defective
R4023,O3356,P2013,2023-01-17,Customer Dissatisfaction
R4024,O3341,P2072,2023-05-16,Defective
R4025,O3049,P2099,2023-09-01,Customer Dissatisfaction
R4026,O3043,P2012,2023-04-02,Wrong Item
R4027,O3342,P2036,2022-07-01,Wrong Item
R4028,O3176,P2068,2023-05-01,Wrong Item
R4029,O3413,P2044,2023-08-24,Wrong Item
R4030,O3277,P2052,2023-07-19,Wrong Item
R4031,O3211,P2033,2022-12-25,Wrong Item
R4032,O3497,P2049,2022-12-19,Customer Dissatisfaction
R4033,O3387,P2083,2022-06-17,Defective
R4034,O3301,P2062,2022-09-22,Customer Dissatisfaction
R4035,O3116,P2073,2024-02-06,Customer Dissatisfaction
R4036,O3283,P2077,2023-12-07,Customer Dissatisfaction
R4037,O3031,P2060,2022-04-03,Defective
R4038,O3430,P2004,2022-10-19,Wrong Item
R4039,O3198,P2022,2022-01-29,Customer Dissatisfaction
R4040,O3419,P2035,2023-01-31,Customer Dissatisfaction
R4041,O3267,P2051,2022-02-20,Defective
R4042,O3214,P2018,2022-06-16,Customer Dissatisfaction
R4043,O3494,P2079,2023-08-09,Customer Dissatisfaction
R4044,O3274,P2077,2024-03-09,Customer Dissatisfaction
R4045,O3351,P2087,2022-08-08,Wrong Item
R4046,O3443,P2088,2022-08-15,Customer Dissatisfaction
R4047,O3479,P2051,2023-10-25,Wrong Item
R4048,O3243,P2004,2022-08-19,Customer Dissatisfaction
R4049,O3293,P2050,2023-11-25,Wrong Item
R4050,O3451,P2042,2022-07-31,Defective
R4051,O3120,P2088,2022-10-03,Customer Dissatisfaction
R4052,O3243,P2030,2023-10-30,Customer Dissatisfaction
R4053,O3153,P2006,2023-02-24,Defective
R4054,O3040,P2095,2023-06-10,Wrong Item
R4055,O3202,P2060,2022-01-21,Defective
R4056,O3462,P2034,2024-03-10,Wrong Item
R4057,O3437,P2047,2024-02-25,Defective
R4058,O3365,P2002,2023-11-30,Customer Dissatisfaction
R4059,O3017,P2043,2022-01-10,Wrong Item
R4060,O3257,P2038,2023-05-01,Customer Dissatisfaction
R4061,O3292,P2039,2022-05-16,Customer Dissatisfaction
R4062,O3461,P2035,2023-10-25,Defective
R4063,O3264,P2062,2022-06-27,Customer Dissatisfaction
R4064,O3409,P2089,2023-09-08,Wrong Item
R4065,O3292,P2087,2022-01-09,Customer Dissatisfaction
R4066,O3346,P2012,2022-08-18,Defective
R4067,O3317,P2029,2022-09-16,Defective
R4068,O3075,P2017,2023-09-15,Wrong Item
R4069,O3061,P2038,2022-11-09,Defective
R4070,O3486,P2095,2023-12-31,Customer Dissatisfaction
R4071,O3387,P2056,2023-12-28,Wrong Item
R4072,O3229,P2099,2023-10-21,Wrong Item
R4073,O3088,P2041,2022-10-09,Wrong Item
R4074,O3485,P2034,2023-03-10,Wrong Item
R4075,O3085,P2093,2023-01-21,Wrong Item
R4076,O3497,P2053,2022-12-24,Customer Dissatisfaction
R4077,O3108,P2077,2023-04-16,Wrong Item
R4078,O3413,P2082,2022-09-16,Wrong Item
R4079,O3098,P2011,2022-08-12,Defective
R4080,O3064,P2024,2023-04-23,Wrong Item
R4081,O3021,P2056,2022-11-06,Defective
R4082,O3216,P2027,2023-11-25,Customer Dissatisfaction
R4083,O3040,P2052,2023-06-18,Customer Dissatisfaction
R4084,O3349,P2094,2023-10-01,Customer Dissatisfaction
R4085,O3222,P2062,2023-02-11,Customer Dissatisfaction
R4086,O3103,P2097,2023-08-22,Defective
R4087,O3421,P2066,2022-04-15,Wrong Item
R4088,O3321,P2047,2022-01-08,Defective
R4089,O3075,P2007,2023-06-08,Customer Dissatisfaction
R4090,O3427,P2065,2023-11-10,Defective
R4091,O3304,P2020,2023-01-19,Customer Dissatisfaction
R4092,O3132,P2008,2023-07-29,Wrong Item
R4093,O3163,P2039,2023-10-25,Customer Dissatisfaction
R4094,O3466,P2090,2023-09-01,Wrong Item
R4095,O3372,P2064,2023-09-16,Wrong Item
R4096,O3468,P2051,2022-10-17,Defective
R4097,O3413,P2017,2022-11-02,Defective
R4098,O3034,P2099,2023-12-02,Defective
R4099,O3044,P2067,2022-04-21,Defective
